estado,estado_nome,data_coleta,indicadores
AC,Acre,2025-11-08T17:54:05.659815,"{'INDICADORES AMBIENTAIS\nPM₂.₅\n6.85 μg/m³\nPM₁₀\n7.01 μg/m³\nSO₂\n0.06 μg/m³\nNO₂\n0.71 μg/m³\nO₃\n19.00 μg/m³\nCO\n0.17 ppm\nTemp.\n-\nPrec.\n-\nFocos\n-': 'INDICADORES AMBIENTAIS\nPM₂.₅\n6.85 μg/m³\nPM₁₀\n7.01 μg/m³\nSO₂\n0.06 μg/m³\nNO₂\n0.71 μg/m³\nO₃\n19.00 μg/m³\nCO\n0.17 ppm\nTemp.\n-\nPrec.\n-\nFocos\n-', 'PM₂.₅\n6.85 μg/m³\nPM₁₀\n7.01 μg/m³\nSO₂\n0.06 μg/m³\nNO₂\n0.71 μg/m³\nO₃\n19.00 μg/m³\nCO\n0.17 ppm\nTemp.\n-\nPrec.\n-\nFocos\n-': 'PM₂.₅\n6.85 μg/m³\nPM₁₀\n7.01 μg/m³\nSO₂\n0.06 μg/m³\nNO₂\n0.71 μg/m³\nO₃\n19.00 μg/m³\nCO\n0.17 ppm\nTemp.\n-\nPrec.\n-\nFocos\n-', 'PM₂.₅\n6.85 μg/m³': 'PM₂.₅\n6.85 μg/m³', 'PM₂.₅': 'PM₂.₅', 'PM₁₀\n7.01 μg/m³': 'PM₁₀\n7.01 μg/m³', 'PM₁₀': 'PM₁₀', 'CO\n0.17 ppm': 'CO\n0.17 ppm', 'CO': 'CO', 'Focos\n-': 'Focos\n-', 'Focos': 'Focos'}"
AL,Alagoas,2025-11-08T17:54:15.391047,"{'INDICADORES AMBIENTAIS\nPM₂.₅\n9.81 μg/m³\nPM₁₀\n11.04 μg/m³\nSO₂\n1.07 μg/m³\nNO₂\n4.85 μg/m³\nO₃\n55.22 μg/m³\nCO\n0.17 ppm\nTemp.\n-\nPrec.\n-\nFocos\n-': 'INDICADORES AMBIENTAIS\nPM₂.₅\n9.81 μg/m³\nPM₁₀\n11.04 μg/m³\nSO₂\n1.07 μg/m³\nNO₂\n4.85 μg/m³\nO₃\n55.22 μg/m³\nCO\n0.17 ppm\nTemp.\n-\nPrec.\n-\nFocos\n-', 'PM₂.₅\n9.81 μg/m³\nPM₁₀\n11.04 μg/m³\nSO₂\n1.07 μg/m³\nNO₂\n4.85 μg/m³\nO₃\n55.22 μg/m³\nCO\n0.17 ppm\nTemp.\n-\nPrec.\n-\nFocos\n-': 'PM₂.₅\n9.81 μg/m³\nPM₁₀\n11.04 μg/m³\nSO₂\n1.07 μg/m³\nNO₂\n4.85 μg/m³\nO₃\n55.22 μg/m³\nCO\n0.17 ppm\nTemp.\n-\nPrec.\n-\nFocos\n-', 'PM₂.₅\n9.81 μg/m³': 'PM₂.₅\n9.81 μg/m³', 'PM₂.₅': 'PM₂.₅', 'PM₁₀\n11.04 μg/m³': 'PM₁₀\n11.04 μg/m³', 'PM₁₀': 'PM₁₀', 'CO\n0.17 ppm': 'CO\n0.17 ppm', 'CO': 'CO', 'Focos\n-': 'Focos\n-', 'Focos': 'Focos'}"
AP,Amapá,2025-11-08T17:54:25.254459,"{'INDICADORES AMBIENTAIS\nPM₂.₅\n6.81 μg/m³\nPM₁₀\n8.37 μg/m³\nSO₂\n0.14 μg/m³\nNO₂\n0.72 μg/m³\nO₃\n26.74 μg/m³\nCO\n0.12 ppm\nTemp.\n-\nPrec.\n-\nFocos\n-': 'INDICADORES AMBIENTAIS\nPM₂.₅\n6.81 μg/m³\nPM₁₀\n8.37 μg/m³\nSO₂\n0.14 μg/m³\nNO₂\n0.72 μg/m³\nO₃\n26.74 μg/m³\nCO\n0.12 ppm\nTemp.\n-\nPrec.\n-\nFocos\n-', 'PM₂.₅\n6.81 μg/m³\nPM₁₀\n8.37 μg/m³\nSO₂\n0.14 μg/m³\nNO₂\n0.72 μg/m³\nO₃\n26.74 μg/m³\nCO\n0.12 ppm\nTemp.\n-\nPrec.\n-\nFocos\n-': 'PM₂.₅\n6.81 μg/m³\nPM₁₀\n8.37 μg/m³\nSO₂\n0.14 μg/m³\nNO₂\n0.72 μg/m³\nO₃\n26.74 μg/m³\nCO\n0.12 ppm\nTemp.\n-\nPrec.\n-\nFocos\n-', 'PM₂.₅\n6.81 μg/m³': 'PM₂.₅\n6.81 μg/m³', 'PM₂.₅': 'PM₂.₅', 'PM₁₀\n8.37 μg/m³': 'PM₁₀\n8.37 μg/m³', 'PM₁₀': 'PM₁₀', 'CO\n0.12 ppm': 'CO\n0.12 ppm', 'CO': 'CO', 'Focos\n-': 'Focos\n-', 'Focos': 'Focos'}"
AM,Amazonas,2025-11-08T17:54:35.111680,"{'INDICADORES AMBIENTAIS\nPM₂.₅\n8.07 μg/m³\nPM₁₀\n8.29 μg/m³\nSO₂\n0.07 μg/m³\nNO₂\n0.54 μg/m³\nO₃\n19.66 μg/m³\nCO\n0.18 ppm\nTemp.\n-\nPrec.\n-\nFocos\n-': 'INDICADORES AMBIENTAIS\nPM₂.₅\n8.07 μg/m³\nPM₁₀\n8.29 μg/m³\nSO₂\n0.07 μg/m³\nNO₂\n0.54 μg/m³\nO₃\n19.66 μg/m³\nCO\n0.18 ppm\nTemp.\n-\nPrec.\n-\nFocos\n-', 'PM₂.₅\n8.07 μg/m³\nPM₁₀\n8.29 μg/m³\nSO₂\n0.07 μg/m³\nNO₂\n0.54 μg/m³\nO₃\n19.66 μg/m³\nCO\n0.18 ppm\nTemp.\n-\nPrec.\n-\nFocos\n-': 'PM₂.₅\n8.07 μg/m³\nPM₁₀\n8.29 μg/m³\nSO₂\n0.07 μg/m³\nNO₂\n0.54 μg/m³\nO₃\n19.66 μg/m³\nCO\n0.18 ppm\nTemp.\n-\nPrec.\n-\nFocos\n-', 'PM₂.₅\n8.07 μg/m³': 'PM₂.₅\n8.07 μg/m³', 'PM₂.₅': 'PM₂.₅', 'PM₁₀\n8.29 μg/m³': 'PM₁₀\n8.29 μg/m³', 'PM₁₀': 'PM₁₀', 'CO\n0.18 ppm': 'CO\n0.18 ppm', 'CO': 'CO', 'Focos\n-': 'Focos\n-', 'Focos': 'Focos'}"
BA,Bahia,2025-11-08T17:54:46.287041,"{'INDICADORES AMBIENTAIS\nPM₂.₅\n11.25 μg/m³\nPM₁₀\n12.19 μg/m³\nSO₂\n0.57 μg/m³\nNO₂\n2.90 μg/m³\nO₃\n64.96 μg/m³\nCO\n0.18 ppm\nTemp.\n-\nPrec.\n-\nFocos\n-': 'INDICADORES AMBIENTAIS\nPM₂.₅\n11.25 μg/m³\nPM₁₀\n12.19 μg/m³\nSO₂\n0.57 μg/m³\nNO₂\n2.90 μg/m³\nO₃\n64.96 μg/m³\nCO\n0.18 ppm\nTemp.\n-\nPrec.\n-\nFocos\n-', 'PM₂.₅\n11.25 μg/m³\nPM₁₀\n12.19 μg/m³\nSO₂\n0.57 μg/m³\nNO₂\n2.90 μg/m³\nO₃\n64.96 μg/m³\nCO\n0.18 ppm\nTemp.\n-\nPrec.\n-\nFocos\n-': 'PM₂.₅\n11.25 μg/m³\nPM₁₀\n12.19 μg/m³\nSO₂\n0.57 μg/m³\nNO₂\n2.90 μg/m³\nO₃\n64.96 μg/m³\nCO\n0.18 ppm\nTemp.\n-\nPrec.\n-\nFocos\n-', 'PM₂.₅\n11.25 μg/m³': 'PM₂.₅\n11.25 μg/m³', 'PM₂.₅': 'PM₂.₅', 'PM₁₀\n12.19 μg/m³': 'PM₁₀\n12.19 μg/m³', 'PM₁₀': 'PM₁₀', 'CO\n0.18 ppm': 'CO\n0.18 ppm', 'CO': 'CO', 'Focos\n-': 'Focos\n-', 'Focos': 'Focos'}"
CE,Ceará,2025-11-08T17:54:56.196138,"{'INDICADORES AMBIENTAIS\nPM₂.₅\n4.96 μg/m³\nPM₁₀\n5.92 μg/m³\nSO₂\n0.53 μg/m³\nNO₂\n2.25 μg/m³\nO₃\n56.88 μg/m³\nCO\n0.13 ppm\nTemp.\n-\nPrec.\n-\nFocos\n-': 'INDICADORES AMBIENTAIS\nPM₂.₅\n4.96 μg/m³\nPM₁₀\n5.92 μg/m³\nSO₂\n0.53 μg/m³\nNO₂\n2.25 μg/m³\nO₃\n56.88 μg/m³\nCO\n0.13 ppm\nTemp.\n-\nPrec.\n-\nFocos\n-', 'PM₂.₅\n4.96 μg/m³\nPM₁₀\n5.92 μg/m³\nSO₂\n0.53 μg/m³\nNO₂\n2.25 μg/m³\nO₃\n56.88 μg/m³\nCO\n0.13 ppm\nTemp.\n-\nPrec.\n-\nFocos\n-': 'PM₂.₅\n4.96 μg/m³\nPM₁₀\n5.92 μg/m³\nSO₂\n0.53 μg/m³\nNO₂\n2.25 μg/m³\nO₃\n56.88 μg/m³\nCO\n0.13 ppm\nTemp.\n-\nPrec.\n-\nFocos\n-', 'PM₂.₅\n4.96 μg/m³': 'PM₂.₅\n4.96 μg/m³', 'PM₂.₅': 'PM₂.₅', 'PM₁₀\n5.92 μg/m³': 'PM₁₀\n5.92 μg/m³', 'PM₁₀': 'PM₁₀', 'CO\n0.13 ppm': 'CO\n0.13 ppm', 'CO': 'CO', 'Focos\n-': 'Focos\n-', 'Focos': 'Focos'}"
DF,Distrito Federal,2025-11-08T17:55:05.307401,"{'INDICADORES AMBIENTAIS\nPM₂.₅\n8.84 μg/m³\nPM₁₀\n8.93 μg/m³\nSO₂\n0.93 μg/m³\nNO₂\n6.32 μg/m³\nO₃\n80.95 μg/m³\nCO\n0.21 ppm\nTemp.\n-\nPrec.\n-\nFocos\n-': 'INDICADORES AMBIENTAIS\nPM₂.₅\n8.84 μg/m³\nPM₁₀\n8.93 μg/m³\nSO₂\n0.93 μg/m³\nNO₂\n6.32 μg/m³\nO₃\n80.95 μg/m³\nCO\n0.21 ppm\nTemp.\n-\nPrec.\n-\nFocos\n-', 'PM₂.₅\n8.84 μg/m³\nPM₁₀\n8.93 μg/m³\nSO₂\n0.93 μg/m³\nNO₂\n6.32 μg/m³\nO₃\n80.95 μg/m³\nCO\n0.21 ppm\nTemp.\n-\nPrec.\n-\nFocos\n-': 'PM₂.₅\n8.84 μg/m³\nPM₁₀\n8.93 μg/m³\nSO₂\n0.93 μg/m³\nNO₂\n6.32 μg/m³\nO₃\n80.95 μg/m³\nCO\n0.21 ppm\nTemp.\n-\nPrec.\n-\nFocos\n-', 'PM₂.₅\n8.84 μg/m³': 'PM₂.₅\n8.84 μg/m³', 'PM₂.₅': 'PM₂.₅', 'PM₁₀\n8.93 μg/m³': 'PM₁₀\n8.93 μg/m³', 'PM₁₀': 'PM₁₀', 'CO\n0.21 ppm': 'CO\n0.21 ppm', 'CO': 'CO', 'Focos\n-': 'Focos\n-', 'Focos': 'Focos'}"
ES,Espírito Santo,2025-11-08T17:55:14.446911,"{'INDICADORES AMBIENTAIS\nPM₂.₅\n8.62 μg/m³\nPM₁₀\n11.23 μg/m³\nSO₂\n3.28 μg/m³\nNO₂\n3.92 μg/m³\nO₃\n50.14 μg/m³\nCO\n0.11 ppm\nTemp.\n-\nPrec.\n-\nFocos\n-': 'INDICADORES AMBIENTAIS\nPM₂.₅\n8.62 μg/m³\nPM₁₀\n11.23 μg/m³\nSO₂\n3.28 μg/m³\nNO₂\n3.92 μg/m³\nO₃\n50.14 μg/m³\nCO\n0.11 ppm\nTemp.\n-\nPrec.\n-\nFocos\n-', 'PM₂.₅\n8.62 μg/m³\nPM₁₀\n11.23 μg/m³\nSO₂\n3.28 μg/m³\nNO₂\n3.92 μg/m³\nO₃\n50.14 μg/m³\nCO\n0.11 ppm\nTemp.\n-\nPrec.\n-\nFocos\n-': 'PM₂.₅\n8.62 μg/m³\nPM₁₀\n11.23 μg/m³\nSO₂\n3.28 μg/m³\nNO₂\n3.92 μg/m³\nO₃\n50.14 μg/m³\nCO\n0.11 ppm\nTemp.\n-\nPrec.\n-\nFocos\n-', 'PM₂.₅\n8.62 μg/m³': 'PM₂.₅\n8.62 μg/m³', 'PM₂.₅': 'PM₂.₅', 'PM₁₀\n11.23 μg/m³': 'PM₁₀\n11.23 μg/m³', 'PM₁₀': 'PM₁₀', 'CO\n0.11 ppm': 'CO\n0.11 ppm', 'CO': 'CO', 'Focos\n-': 'Focos\n-', 'Focos': 'Focos'}"
GO,Goiás,2025-11-08T17:55:26.582403,"{'INDICADORES AMBIENTAIS\nPM₂.₅\n7.33 μg/m³\nPM₁₀\n7.42 μg/m³\nSO₂\n0.32 μg/m³\nNO₂\n3.81 μg/m³\nO₃\n72.52 μg/m³\nCO\n0.20 ppm\nTemp.\n-\nPrec.\n-\nFocos\n-': 'INDICADORES AMBIENTAIS\nPM₂.₅\n7.33 μg/m³\nPM₁₀\n7.42 μg/m³\nSO₂\n0.32 μg/m³\nNO₂\n3.81 μg/m³\nO₃\n72.52 μg/m³\nCO\n0.20 ppm\nTemp.\n-\nPrec.\n-\nFocos\n-', 'PM₂.₅\n7.33 μg/m³\nPM₁₀\n7.42 μg/m³\nSO₂\n0.32 μg/m³\nNO₂\n3.81 μg/m³\nO₃\n72.52 μg/m³\nCO\n0.20 ppm\nTemp.\n-\nPrec.\n-\nFocos\n-': 'PM₂.₅\n7.33 μg/m³\nPM₁₀\n7.42 μg/m³\nSO₂\n0.32 μg/m³\nNO₂\n3.81 μg/m³\nO₃\n72.52 μg/m³\nCO\n0.20 ppm\nTemp.\n-\nPrec.\n-\nFocos\n-', 'PM₂.₅\n7.33 μg/m³': 'PM₂.₅\n7.33 μg/m³', 'PM₂.₅': 'PM₂.₅', 'PM₁₀\n7.42 μg/m³': 'PM₁₀\n7.42 μg/m³', 'PM₁₀': 'PM₁₀', 'CO\n0.20 ppm': 'CO\n0.20 ppm', 'CO': 'CO', 'Focos\n-': 'Focos\n-', 'Focos': 'Focos'}"
MA,Maranhão,2025-11-08T17:55:36.524400,"{'INDICADORES AMBIENTAIS\nPM₂.₅\n21.15 μg/m³\nPM₁₀\n22.41 μg/m³\nSO₂\n0.97 μg/m³\nNO₂\n4.67 μg/m³\nO₃\n59.48 μg/m³\nCO\n0.28 ppm\nTemp.\n-\nPrec.\n-\nFocos\n-': 'INDICADORES AMBIENTAIS\nPM₂.₅\n21.15 μg/m³\nPM₁₀\n22.41 μg/m³\nSO₂\n0.97 μg/m³\nNO₂\n4.67 μg/m³\nO₃\n59.48 μg/m³\nCO\n0.28 ppm\nTemp.\n-\nPrec.\n-\nFocos\n-', 'PM₂.₅\n21.15 μg/m³\nPM₁₀\n22.41 μg/m³\nSO₂\n0.97 μg/m³\nNO₂\n4.67 μg/m³\nO₃\n59.48 μg/m³\nCO\n0.28 ppm\nTemp.\n-\nPrec.\n-\nFocos\n-': 'PM₂.₅\n21.15 μg/m³\nPM₁₀\n22.41 μg/m³\nSO₂\n0.97 μg/m³\nNO₂\n4.67 μg/m³\nO₃\n59.48 μg/m³\nCO\n0.28 ppm\nTemp.\n-\nPrec.\n-\nFocos\n-', 'PM₂.₅\n21.15 μg/m³': 'PM₂.₅\n21.15 μg/m³', 'PM₂.₅': 'PM₂.₅', 'PM₁₀\n22.41 μg/m³': 'PM₁₀\n22.41 μg/m³', 'PM₁₀': 'PM₁₀', 'CO\n0.28 ppm': 'CO\n0.28 ppm', 'CO': 'CO', 'Focos\n-': 'Focos\n-', 'Focos': 'Focos'}"
