date,CD_MUN,estado,municipio,pm2_5_media_diaria_previsao_situacao_atual,pm10_media_diaria_previsao_situacao_atual,o3_media_diaria_previsao_situacao_atual
2025-09-28,1200013,ACRE,ACRELÂNDIA,4.98,5.04,29.82
2025-09-28,1200054,ACRE,ASSIS BRASIL,12.3,12.53,35.89
2025-09-28,1200104,ACRE,BRASILÉIA,7.52,7.69,37.29
2025-09-28,1200138,ACRE,BUJARI,3.75,3.78,31.01
2025-09-28,1200179,ACRE,CAPIXABA,4.46,4.53,34.53
2025-09-28,1200203,ACRE,CRUZEIRO DO SUL,8.19,8.25,23.83
2025-09-28,1200252,ACRE,EPITACIOLÂNDIA,7.74,7.92,37.69
2025-09-28,1200302,ACRE,FEIJÓ,3.97,4.1,21.03
2025-09-28,1200328,ACRE,JORDÃO,8.63,8.64,20.42
2025-09-28,1200336,ACRE,MÂNCIO LIMA,8.84,8.88,24.13
2025-09-28,1200344,ACRE,MANOEL URBANO,4.31,4.4,21.39
2025-09-28,1200351,ACRE,MARECHAL THAUMATURGO,13.07,13.09,23.71
2025-09-28,1200385,ACRE,PLÁCIDO DE CASTRO,4.78,4.85,30.63
2025-09-28,1200807,ACRE,PORTO ACRE,4.19,4.23,26.73
2025-09-28,1200393,ACRE,PORTO WALTER,8.74,8.75,22.66
2025-09-28,1200401,ACRE,RIO BRANCO,4.01,4.06,34.64
2025-09-28,1200427,ACRE,RODRIGUES ALVES,8.03,8.08,23.27
2025-09-28,1200435,ACRE,SANTA ROSA DO PURUS,7.68,7.69,22.59
2025-09-28,1200450,ACRE,SENADOR GUIOMARD,4.06,4.11,35.36
2025-09-28,1200500,ACRE,SENA MADUREIRA,4.06,4.15,24.72
2025-09-28,1200609,ACRE,TARAUACÁ,3.76,3.87,18.61
2025-09-28,1200708,ACRE,XAPURI,4.08,4.13,29.38
2025-09-28,2700102,ALAGOAS,ÁGUA BRANCA,1.93,2.41,58.84
2025-09-28,2700201,ALAGOAS,ANADIA,12.19,14.79,56.35
2025-09-28,2700300,ALAGOAS,ARAPIRACA,9.16,11.32,56.96
2025-09-28,2700409,ALAGOAS,ATALAIA,11.58,14.12,57.48
2025-09-28,2700508,ALAGOAS,BARRA DE SANTO ANTÔNIO,8.14,11.48,64.04
2025-09-28,2700607,ALAGOAS,BARRA DE SÃO MIGUEL,9.73,13.36,62.71
2025-09-28,2700706,ALAGOAS,BATALHA,4.7,5.99,57.39
2025-09-28,2700805,ALAGOAS,BELÉM,11.53,13.76,54.67
2025-09-28,2700904,ALAGOAS,BELO MONTE,3.55,4.71,57.71
2025-09-28,2701001,ALAGOAS,BOCA DA MATA,11.95,14.54,57.15
2025-09-28,2701100,ALAGOAS,BRANQUINHA,12.08,14.58,52.94
2025-09-28,2701209,ALAGOAS,CACIMBINHAS,5.99,7.4,57.6
2025-09-28,2701308,ALAGOAS,CAJUEIRO,11.64,14.06,54.95
2025-09-28,2701357,ALAGOAS,CAMPESTRE,9.97,12.55,57.88
2025-09-28,2701407,ALAGOAS,CAMPO ALEGRE,12.08,14.81,56.78
2025-09-28,2701506,ALAGOAS,CAMPO GRANDE,6.94,9.02,58.64
